date,avg_recession_fear,avg_sentiment,avg_sentiment_numeric,article_count,rolling_3d,rolling_7d,momentum,volatility,is_trading_day
2022-06-01,6.0,bearish,-1.0,1,6.0,6.0,,,True
2026-03-10,1.0,neutral,0.0,1,3.5,3.5,-5.0,3.5355339059327378,True
2026-03-11,2.8,neutral,-0.2,5,3.266666666666667,3.266666666666667,1.7999999999999998,2.5324559884296773,True
2026-03-12,3.69,neutral,-0.26,26,2.4966666666666666,3.3725,0.8900000000000001,2.078547168897866,True
2026-03-13,5.6,bearish,-0.6,2,4.03,3.818,1.9099999999999997,2.05733322531864,True
